exp;ntasks;memory;dispatch;wait
single;1;8192;18182;96730
single;1;8192;18121;88394
single;1;8192;18136;120272
single;1;8192;18132;114113
single;1;8192;18166;116084
single;1;8192;18188;114135
single;1;8192;18136;116137
single;1;8192;18151;114159
single;1;8192;18138;115968
single;1;8192;18155;114128
single;1;8192;18107;116111
single;1;8192;18155;114102
single;1;8192;18154;116056
single;1;8192;18215;113951
single;1;8192;18162;115996
single;1;8192;18092;116336
single;1;8192;18137;113873
single;1;8192;18147;114088
single;1;8192;18176;116069
single;1;8192;18139;114065
single;1;8192;18145;116099
single;1;8192;18148;114962
single;1;8192;18153;114159
single;1;8192;18175;116146
single;1;8192;18167;114061
single;1;8192;18167;116124
single;1;8192;18159;114117
single;1;8192;18169;116019
single;1;8192;18157;114131
single;1;8192;18150;115961
single;1;8192;18139;114017
single;1;8192;18156;116031
single;1;8192;18164;115251
single;1;8192;18118;114136
single;1;8192;18165;116087
single;1;8192;18136;114116
single;1;8192;18135;116009
single;1;8192;18107;114179
single;1;8192;18146;116130
single;1;8192;18146;114009
single;1;8192;18175;116017
single;1;8192;18117;114042
single;1;8192;18124;116035
single;1;8192;18159;114146
single;1;8192;18202;116421
single;1;8192;18176;115205
single;1;8192;18186;115179
single;1;8192;18124;114194
single;1;8192;18153;116204
single;1;8192;18112;114047
single;2;8192;26134;145410
single;2;8192;26136;145939
single;2;8192;26166;145933
single;2;8192;26064;145909
single;2;8192;26046;145086
single;2;8192;26062;145081
single;2;8192;26075;145910
single;2;8192;26045;145984
single;2;8192;26070;145935
single;2;8192;26036;146031
single;2;8192;26078;145196
single;2;8192;26052;146044
single;2;8192;26046;145992
single;2;8192;26072;145927
single;2;8192;26113;146002
single;2;8192;26110;146079
single;2;8192;26046;145931
single;2;8192;26077;146073
single;2;8192;26027;145973
single;2;8192;26102;145030
single;2;8192;26110;145917
single;2;8192;26110;145939
single;2;8192;26053;145929
single;2;8192;26027;145962
single;2;8192;26085;145929
single;2;8192;26084;145076
single;2;8192;26080;145993
single;2;8192;26057;146025
single;2;8192;26107;146029
single;2;8192;26055;145936
single;2;8192;26147;145909
single;2;8192;26100;146028
single;2;8192;26086;145947
single;2;8192;26145;145941
single;2;8192;26052;145963
single;2;8192;26084;145976
single;2;8192;26122;145951
single;2;8192;26102;145084
single;2;8192;26081;145092
single;2;8192;26107;145941
single;2;8192;26068;145911
single;2;8192;26095;146020
single;2;8192;26110;145024
single;2;8192;26111;145969
single;2;8192;26132;145893
single;2;8192;26089;145920
single;2;8192;26024;146105
single;2;8192;26044;146052
single;2;8192;26102;145048
single;2;8192;26117;145098
single;3;8192;33914;195132
single;3;8192;34010;205007
single;3;8192;33927;214728
single;3;8192;33978;205530
single;3;8192;33948;214651
single;3;8192;33936;205504
single;3;8192;33828;214846
single;3;8192;34002;205554
single;3;8192;33908;214922
single;3;8192;33947;205527
single;3;8192;33954;214594
single;3;8192;33912;205550
single;3;8192;33911;214821
single;3;8192;33944;205564
single;3;8192;33917;214754
single;3;8192;33933;205623
single;3;8192;33941;214830
single;3;8192;33921;205511
single;3;8192;33921;214803
single;3;8192;33920;205581
single;3;8192;33838;215167
single;3;8192;33963;205518
single;3;8192;33938;214819
single;3;8192;33980;205465
single;3;8192;33855;214931
single;3;8192;33946;205469
single;3;8192;33978;214845
single;3;8192;33993;205513
single;3;8192;33922;214878
